,wikidata_uri,company name,description,country,instance of,inception,official website,industry,founded by
43,http://www.wikidata.org/entity/Q47099,Grupo Televisa,Mexican media company,Mexico,"['internet service provider' 'business' 'public company'
 'media conglomerate' 'enterprise']",1973-01-08,https://www.televisa.com/corporativo/,['television' 'mass media' 'film industry'],Emilio Azcárraga Milmo
44,http://www.wikidata.org/entity/Q835283,Caixa,Brazilian government-owned financial institution,Brazil,['bank' 'state-owned enterprise' 'financial institution'],1861-01-01,https://www.caixa.gov.br,['financial sector' 'financial services' 'economics of banking'],Pedro II of Brazil
45,http://www.wikidata.org/entity/Q806693,Bank of Montreal,Canadian investment bank,Canada,['bank'],1817-06-23,http://www.bmo.com/,['financial sector' 'financial services' 'economics of banking'],Robert Armour
46,http://www.wikidata.org/entity/Q744149,Wells Fargo,American multinational banking and financial services company,United States of America,['bank' 'financial institution' 'enterprise' 'public company' 'business'],1852-01-01,https://www.wellsfargo.com/,['financial services' 'financial sector' 'economics of banking'],Henry Wells
47,http://www.wikidata.org/entity/Q795898,BGL BNP Paribas,Luxembourgian banking institution,Luxembourg,['bank' 'credit institution' 'business'],1919-01-01,http://www.bgl.lu/,"['financial sector'
 'financial service activities, except insurance and pension funding'
 'financial services' 'economics of banking']",Société Générale de Belgique
48,http://www.wikidata.org/entity/Q690739,Arab International Bank of Tunisia,Tunisian bank,Tunisia,['bank'],1976-01-01,http://www.biat.com.tn/,['financial services' 'economics of banking'],Mansour Moalla
49,http://www.wikidata.org/entity/Q806639,Bank Mandiri,Indonesian bank,Indonesia,"['Perseroan Terbatas' 'bank' 'state-owned enterprise'
 'financial institution' 'public company' 'commercial bank']",1998-10-02,https://www.bankmandiri.co.id/,['financial sector' 'financial services' 'economics of banking'],Government of Indonesia
50,http://www.wikidata.org/entity/Q806626,Bank Central Asia,Indonesian company,Indonesia,"['commercial bank' 'financial institution' 'public company' 'business'
 'enterprise' 'bank']",1955-01-01,http://www.bca.co.id,['financial services' 'economics of banking'],Sudono Salim
51,http://www.wikidata.org/entity/Q749034,Mediobanca,Italian investment bank,Italy,"['enterprise' 'business' 'public company' 'credit institution'
 'investment bank' 'bank']",1946-01-01,https://www.mediobanca.com/,['financial sector' 'financial services'],Enrico Cuccia
52,http://www.wikidata.org/entity/Q670084,Vnesheconombank,state corporation (Russia),Russia,['bank' 'enterprise' 'business'],1987-01-01,http://www.veb.ru/,['financial services'],Olof Aschberg
53,http://www.wikidata.org/entity/Q806483,Bangkok Bank,financial institution in Thailand,Thailand,"['public company' 'commercial bank' 'financial institution' 'bank'
 'enterprise' 'business']",1944-11-20,https://www.bangkokbank.com/,['financial services' 'financial sector' 'economics of banking'],Chin Sophonpanich
54,http://www.wikidata.org/entity/Q806641,Bank Leumi Le- Israel B.m.,Israeli commercial bank,Israel,['enterprise' 'public company' 'business' 'bank'],1902-01-01,https://www.leumi.co.il/,['financial sector'],World Zionist Organization
55,http://www.wikidata.org/entity/Q806181,Bradesco,Brazilian banking institution,Brazil,['financial institution' 'bank' 'public company' 'business'],1943-01-01,https://banco.bradesco/,['financial services' 'financial sector' 'economics of banking'],Amador Aguiar
56,http://www.wikidata.org/entity/Q806154,Popular Bank of Milan,Italian cooperative bank,Italy,['bank' 'business'],1865-12-12,https://www.bancobpm.it/banca-popolare-di-milano/,['financial services' 'economics of banking'],Luigi Luzzatti
57,http://www.wikidata.org/entity/Q1023306,CEC Bank,state-owned Romanian bank,Romania,['romanian bank'],1864-12-01,https://www.cec.ro/,['financial sector'],Alexandru Ioan Cuza
